publishedAt,videoId,authorDisplayName,textDisplay,likeCount
2025-03-27T16:48:21Z,ygcodv_xrUE,@SteveDunham1312,"Dalam hati bobon, wili GOBLOK",0
2025-03-27T16:47:36Z,ygcodv_xrUE,@Arfannn-o9f,"njir gaya nya bobon ngotak amat ngomong sm wely seolah dia hakim wily terdakwa..!! woi bon udh bagus wily buat konten berbagi masak besar di pelambng.. kok ini lo malah nge judge gak pake hati lah.. setingan lah.. cm konten lah.. gak ada persiapan lah.. gak ada respect lo jd org..!! mw apa kata lo ngomg yg jelas dia dsna emg berbagi masak besar di palembang.. dasar goblokkk udh kyak ngerasa konten kreator paling bnr paling bagus aja lo.. ngaca woi bon konten dl kyak apa gak jauh2 dari mabok amer, becon, lc dll wkwkkw kocak lo bon so paling tua sok paling senior sok paling bnr..!!",0
2025-03-27T16:46:00Z,ygcodv_xrUE,@Test.tv.tester,"Saya cuma minya willie mengakui salah ini settingan , agar menampar semua netizen yg sdh menghujat kota palembang scara tdk langsung",1
2025-03-27T16:45:45Z,ygcodv_xrUE,@nunikariyyan7232,Bang bobon dan Willy Salim sama sama ora yg baik kalo bisa jangan sampe ada kesalah pahaman,0
2025-03-27T16:43:26Z,ygcodv_xrUE,@Bangziii15,oke,0
2025-03-27T16:43:15Z,ygcodv_xrUE,@yoehanjhonez8853,Semiskin - miskinnya orang indonesia tdk akan berebut atau menjarah makanan tanpa seijin pemilik atau panitia acara apalagi itu jga dikawal oleh banyak aparat kepolisian seperti yg WS sampaikan.<br>Logikanya jika ada warga coba untuk menjarah makanan diacara tsb sudah pasti aparat yg menjaga iti melarangnya akan tetapi ini ada pembiaran pasti itu emang ada yg menyuruh untuk ambil.<br>Jadi kesimpulannya ini memang setingan WS agar viral dan banyak cuannya🤭🤦,0
2025-03-27T16:42:59Z,ygcodv_xrUE,@EdahDaviyanti,Njiirr sekelas om dedy dikacangin dong... demi masak besar,0
2025-03-27T16:42:43Z,ygcodv_xrUE,@elghifary99,Willie salim siapa sih?,0
2025-03-27T16:42:32Z,ygcodv_xrUE,@RaitoKurozawa,om ded kena settingan dia juga😂😂<br>emang manipulatif tuh anak ngejar adsense doank,1
2025-03-27T16:42:13Z,ygcodv_xrUE,@Putry-wi6wm,Pas berhenti nlpn gw juga langsung ketawa om ko lucu ya😂😂,0
2025-03-27T16:41:28Z,ygcodv_xrUE,@SyahrulMaulana-x2n,assalamualaikum semoga di baca sama om Dedi . Ini si Wilie Salim bener mau ada kegiatan masak di Depok tanggal 28 Maret 2025. di alamat masjid at Tohir bersama ust.Derry Sulaiman,0
2025-03-27T16:40:59Z,ygcodv_xrUE,@AdilaAdila-e5r,"Masalah Kejadian ini setingan atau tidak Tanyakan pesulap Merah aja biar dibongkar sama dia bahwa Sanya ini Asli atau konten pembodohan , soal nya pesulap merah itu berani ngomong langsung bahwa Sanya itu asli atau pembodohan undang mereka berdua langsung 😊😊",1
2025-03-27T16:40:29Z,ygcodv_xrUE,@abimgaming7653,"dari awal liat konten2 dia jg udah NAJIS gw klo harus nonton, salut ama bang Bobon yg bisa sabar dengerin omongan dia, malah gw yg jengkel njirrr 😂 willie K*NT*L 😮‍💨",0
2025-03-27T16:40:13Z,ygcodv_xrUE,@reynolcobolompusunggu2488,WS kayanya takut di maki sama BS di podcast ini x. 😅😂,0
2025-03-27T16:39:34Z,ygcodv_xrUE,@Abdulfaad1210,"Tinggal ke palembang terus klarifikasi biar g salah paham,,",0
2025-03-27T16:37:57Z,ygcodv_xrUE,@x-locoschannel7355,"Bang bobon loe kayak Luffy nyenengin orang dengan makan,,,,",0
2025-03-27T16:36:38Z,ygcodv_xrUE,@pasamanbaratrancak1456,Bobon memang lebih senior..jauhhh...,0
2025-03-27T16:36:10Z,ygcodv_xrUE,@AL.FajriEditing,anjir willie salim nangis cok tidak bisa jawab,0
2025-03-27T16:34:58Z,ygcodv_xrUE,@salmakiki3911,"Willy di tnya apa jawab apa , jwbannya ga nymabung panjang bgt tp g nymbung",0
2025-03-27T16:34:46Z,ygcodv_xrUE,@Jayanudin7,Koh bobon sama om ded ekspresinya pas si Willy cucol mewakili gw banget itu ..😂😂😂,0
